Date,AAPL,AMD,AMZN,DIS,GOOGL,JPM,MSFT,NFLX,NVDA,TSLA,AAPL_DailyReturn,AMD_DailyReturn,AMZN_DailyReturn,DIS_DailyReturn,GOOGL_DailyReturn,JPM_DailyReturn,MSFT_DailyReturn,NFLX_DailyReturn,NVDA_DailyReturn,TSLA_DailyReturn
2011-01-03,9.904958724975586,8.470000267028809,9.211000442504883,32.89626693725586,15.051911354064941,29.431175231933594,21.421085357666016,25.48714256286621,0.362673819065094,1.7746670246124268,0,0,0,0,0,0,0,0,0,0
2011-01-04,9.95665168762207,8.770000457763672,9.250499725341797,33.913963317871094,14.996370315551758,29.85712242126465,21.505298614501953,25.90999984741211,0.36152759194374084,1.777999997138977,0.00520533,0.0348063,0.0042791,0.0304676,-0.00369679,0.0143689,0.00392362,0.0164549,-0.0031655,0.00187632
2011-01-05,10.038095474243164,8.90999984741211,9.371000289916992,34.75767135620117,15.16946792602539,30.222227096557617,21.43639373779297,25.67571449279785,0.3892669081687927,1.7886669635772705,0.00814656,0.0158374,0.0129423,0.0245735,0.0114765,0.0121542,-0.00320923,-0.0090834,0.0739269,0.00598149
2011-01-06,10.029983520507812,8.6899995803833,9.293000221252441,34.4880256652832,15.279800415039062,30.073484420776367,22.06417465209961,25.427143096923828,0.4431406557559967,1.858667016029358,-0.000808444,-0.0250013,-0.00835839,-0.00778812,0.007247,-0.00493378,0.0288651,-0.00972835,0.129622,0.0383889
2011-01-07,10.101810455322266,8.829999923706055,9.274499893188477,34.31406784057617,15.353023529052734,29.50554656982422,21.895748138427734,25.614286422729492,0.4555202126502991,1.8826669454574585,0.0071357,0.0159821,-0.00199277,-0.00505677,0.00478071,-0.0190656,-0.00766277,0.00733303,0.0275529,0.0128298
2011-01-10,10.292057991027832,9.1899995803833,9.234000205993652,34.35755157470703,15.297484397888184,29.34328269958496,21.604822158813477,26.84000015258789,0.4729433059692383,1.8966670036315918,0.0186579,0.0399609,-0.00437634,0.00126643,-0.00362403,-0.00551461,-0.0133759,0.0467431,0.0375354,0.00740878
2011-01-11,10.267718315124512,8.359999656677246,9.217000007629395,34.270572662353516,15.342314720153809,29.478500366210938,21.520606994628906,26.66428565979004,0.4656071066856384,1.797333002090454,-0.0023677,-0.0946575,-0.00184274,-0.00253479,0.00292628,0.00459755,-0.0039056,-0.00656826,-0.0156334,-0.0537942
2011-01-12,10.351264953613281,8.390000343322754,9.204000473022461,34.07051086425781,15.36373519897461,30.22899627685547,21.857460021972656,26.985713958740234,0.5352992415428162,1.797333002090454,0.0081039,0.00358218,-0.00141138,-0.00585482,0.0013952,0.0251404,0.0155313,0.0119826,0.139484,0
2011-01-13,10.38913345336914,8.260000228881836,9.27649974822998,34.14879608154297,15.359251022338867,30.053203582763672,21.581851959228516,27.355714797973633,0.5362163186073303,1.7480000257492065,0.00365167,-0.0156159,0.00784607,0.00229511,-0.00029191,-0.00583234,-0.0126895,0.0136178,0.00171174,-0.0278316
2011-01-14,10.473280906677246,8.199999809265137,9.4375,34.17489242553711,15.545797348022461,30.364206314086914,21.666067123413086,27.354286193847656,0.5408011078834534,1.7166670560836792,0.00806694,-0.00729048,0.0172068,0.000763903,0.0120724,0.0102952,0.00389454,-5.22246e-05,0.00851391,-0.0180876
